base64,benign,3
cp,benign,3
date,benign,3
dir,benign,3
echo,benign,3
env,benign,3
printf,benign,3
who,benign,3
cat-upx,benign,3
ls-upx,benign,3
printenv-upx,benign,3
pwd-upx,benign,3
tty-upx,benign,3
uname-upx,benign,3
uptime-upx,benign,3
who-upx,benign,3
playaudio,benign,3
edit-video,benign,3
takevideo,benign,3
encodevideo,benign,3
ping,benign,3
netstat,benign,3
wget,benign,3
tracerout,benign,3
dig,benign,3
compilation,benign,3
gafgyt-variante1,gafgyt,3
gafgyt-variante2,gafgyt,3
gafgyt-variante3,gafgyt,3
gafgyt-variante4,gafgyt,3
gonnacry,gonnacry,3
gonnacry-Camellia-256-CBC,gonnacry,3
gonnacry-CHACHA20-POLY1305,gonnacry,3
gonnacry-DES-CBC,gonnacry,3
gonnacry-SM4-CBC,gonnacry,3
mirai-dbg,mirai,3
mirai-variante-1,mirai,3
mirai-variante-2,mirai,3
mirai-variante-3,mirai,3
mirai-variante-4,mirai,3
trojan-variante-1,trojan,3
trojan-variante-2,trojan,3
trojan-variante-3,trojan,3
trojan-variante-4,trojan,3
trojan-variante-5,trojan,3
trojan-variante-6,trojan,3
gonnacry_antianalysis,gonnacry,3
mirai_antianalysis,mirai,3
gonnacry_flatten,gonnacry,3
mirai_flatten,mirai,3
gonnacry_opaque,gonnacry,3
mirai_opaque,mirai,3
gonnacry_split,gonnacry,3
mirai_split,mirai,3
gonnacry_virtualize,gonnacry,3
mirai_virtualize,mirai,3
gonnacry_camilla_CBC_upx,gonnacry,3
gonnacry_upx,gonnacry,3
gafgyt_1_upx,gafgyt,3
gafgyt_2_upx,gafgyt,3
mirai_dbg_upx,mirai,3
mirai_upx,mirai,3
trojan_1_upx,trojan,3
trojan_2_upx,trojan,3
