base64,benign,3
cp,benign,3
date,benign,3
dir,benign,3
echo,benign,3
env,benign,3
printf,benign,3
who,benign,3
cat-upx,benign,3
ls-upx,benign,3
printenv-upx,benign,3
pwd-upx,benign,3
tty-upx,benign,3
uname-upx,benign,3
uptime-upx,benign,3
who-upx,benign,3
playaudio,benign,3
edit-video,benign,3
takevideo,benign,3
encodevideo,benign,3
ping,benign,3
netstat,benign,3
wget,benign,3
tracerout,benign,3
dig,benign,3
compilation,benign,3
gafgyt-variante1,ddos,3
gafgyt-variante2,ddos,3
gafgyt-variante3,ddos,3
gafgyt-variante4,ddos,3
gonnacry,ransomware,3
gonnacry-Camellia-256-CBC,ransomware,3
gonnacry-CHACHA20-POLY1305,ransomware,3
gonnacry-DES-CBC,ransomware,3
gonnacry-SM4-CBC,ransomware,3
mirai-dbg,ddos,3
mirai-variante-1,ddos,3
mirai-variante-2,ddos,3
mirai-variante-3,ddos,3
mirai-variante-4,ddos,3
trojan-variante-1,backdoor,3
trojan-variante-2,backdoor,3
trojan-variante-3,backdoor,3
trojan-variante-4,backdoor,3
trojan-variante-5,backdoor,3
trojan-variante-6,backdoor,3
gonnacry_antianalysis,ransomware,3
mirai_antianalysis,ddos,3
gonnacry_flatten,ransomware,3
mirai_flatten,ddos,3
gonnacry_opaque,ransomware,3
mirai_opaque,ddos,3
gonnacry_split,ransomware,3
mirai_split,ddos,3
gonnacry_virtualize,ransomware,3
mirai_virtualize,ddos,3
gonnacry_camilla_CBC_upx,ransomware,3
gonnacry_upx,ransomware,3
gafgyt_1_upx,ddos,3
gafgyt_2_upx,ddos,3
mirai_dbg_upx,ddos,3
mirai_upx,ddos,3
trojan_1_upx,backdoor,3
trojan_2_upx,backdoor,3
